release_date,movie,production_budget,domestic_gross,genres,studio,foreign_gross,domestic_ROI_percent,domestic_Profit,Seasons,Adventure,,Thriller,Fantasy,History,Comedy,Western,Action,War,Sport,Crime,Horror,Musical,Drama,Music,Animation,Mystery,Biography,Family,Sci-Fi,Romance
2011-05-20,PiratesoftheCaribbeanOnStrangerTides,410600000,241063875,"Action,Adventure,Fantasy",BV,804600000,58.71014978080857,-169536125,Spring,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,AvengersAgeofUltron,330600000,459005868,"Action,Adventure,Sci-Fi",BV,946400000,138.8402504537205,128405868,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-12-15,StarWarsTheLastJedi,317000000,620181382,"Action,Adventure,Fantasy",BV,712400000,195.640814511041,303181382,Winter,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-18,StarWarsTheForceAwakens,306000000,936662225,"Action,Adventure,Fantasy",BV,"1,131.6",306.09876633986926,630662225,Winter,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,AvengersInfinityWar,300000000,678815482,"Action,Adventure,Sci-Fi",BV,"1,369.5",226.27182733333333,378815482,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-11-17,JusticeLeague,300000000,229024295,"Action,Adventure,Fantasy",WB,428900000,76.34143166666667,-70975705,Autumn,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-06,Spectre,300000000,200074175,"Action,Adventure,Thriller",Sony,680600000,66.69139166666666,-99925825,Autumn,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-20,TheDarkKnightRises,275000000,448139099,"Action,Thriller",WB,636800000,162.95967236363634,173139099,Summer,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-25,SoloAStarWarsStory,275000000,213767512,"Action,Adventure,Sci-Fi",BV,179200000,77.73364072727273,-61232488,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-07-02,TheLoneRanger,275000000,89302115,"Action,Adventure,Western",BV,171200000,32.473496363636364,-185697885,Summer,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-09,JohnCarter,275000000,73058679,"Action,Adventure,Sci-Fi",BV,211100000,26.56679236363637,-201941321,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-11-24,Tangled,260000000,200821936,"Adventure,Animation,Comedy",BV,391000000,77.23920615384615,-59178064,Autumn,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016-05-06,CaptainAmericaCivilWar,250000000,408084349,"Action,Adventure,Sci-Fi",BV,745200000,163.2337396,158084349,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-03-25,BatmanvSupermanDawnofJustice,250000000,330360194,"Action,Adventure,Fantasy",WB,543300000,132.14407759999997,80360194,Spring,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-14,TheHobbitAnUnexpectedJourney,250000000,303003568,"Adventure,Family,Fantasy",WB (NL),718100000,121.20142720000001,53003568,Winter,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-12-13,TheHobbitTheDesolationofSmaug,250000000,258366855,"Adventure,Fantasy",WB (NL),700000000,103.346742,8366855,Winter,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-17,TheHobbitTheBattleoftheFiveArmies,250000000,255119788,"Adventure,Fantasy",WB (NL),700900000,102.0479152,5119788,Winter,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-14,TheFateoftheFurious,250000000,225764765,"Action,Crime,Thriller",Uni.,"1,010.0",90.305906,-24235235,Spring,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-05-26,PiratesoftheCaribbeanDeadMenTellNoTales,230000000,172558876,"Action,Adventure,Fantasy",BV,622300000,75.02559826086956,-57441124,Spring,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-04,TheAvengers,225000000,623279547,"Action,Adventure,Sci-Fi",BV,,277.013132,398279547,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-06-14,ManofSteel,225000000,291045518,"Action,Adventure,Sci-Fi",WB,377000000,129.35356355555555,66045518,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2012-07-03,TheAmazingSpiderMan,220000000,262030663,"Action,Adventure,Sci-Fi",Sony,495900000,119.1048468181818,42030663,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2012-05-18,Battleship,220000000,65233400,"Action,Adventure,Sci-Fi",Uni.,237600000,29.65154545454545,-154766600,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-06-21,TransformersTheLastKnight,217000000,130168683,"Action,Adventure,Sci-Fi",Par.,475300000,59.985568202764966,-86831317,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-06-12,JurassicWorld,215000000,652270625,"Action,Adventure,Sci-Fi",Uni.,"1,019.4",303.3816860465116,437270625,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2012-05-25,MeninBlack3,215000000,179020854,"Action,Adventure,Comedy",Sony,,83.2655134883721,-35979146,Spring,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-27,TransformersAgeofExtinction,210000000,245439076,"Action,Adventure,Sci-Fi",Par.,858600000,116.87575047619049,35439076,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-05-14,RobinHood,210000000,105487148,"Action,Adventure,Drama",Uni.,216400000,50.231975238095245,-104512852,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2018-02-16,BlackPanther,200000000,700059566,"Action,Adventure,Sci-Fi",BV,646900000,350.029783,500059566,Winter,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2018-06-15,Incredibles2,200000000,608581744,,BV,634200000,304.29087200000004,408581744,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-16,RogueOneAStarWarsStory,200000000,532177324,"Action,Adventure,Sci-Fi",BV,523900000,266.088662,332177324,Winter,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-06-17,FindingDory,200000000,486295561,"Adventure,Animation,Comedy",BV,542300000,243.1477805,286295561,Summer,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-06-18,ToyStory3,200000000,415004880,"Adventure,Animation,Comedy",BV,652000000,207.50244000000004,215004880,Summer,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-05-03,IronMan3,200000000,408992272,"Action,Adventure,Sci-Fi",BV,805800000,204.496136,208992272,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-05-05,GuardiansoftheGalaxyVol2,200000000,389813101,"Action,Adventure,Comedy",BV,473900000,194.90655049999998,189813101,Spring,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-05,AliceinWonderland,200000000,334191110,"Adventure,Family,Fantasy",BV,,167.09555500000002,134191110,Spring,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012-11-08,Skyfall,200000000,304360277,"Action,Adventure,Thriller",Sony,804200000,152.1801385,104360277,Autumn,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-21,MonstersUniversity,200000000,268488329,"Adventure,Animation,Comedy",BV,475700000,134.2441645,68488329,Summer,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-03-08,OztheGreatandPowerful,200000000,234770996,"Adventure,Family,Fantasy",BV,,117.385498,34770996,Spring,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-05-23,XMenDaysofFuturePast,200000000,233921534,"Action,Adventure,Sci-Fi",Fox,513900000,116.96076699999999,33921534,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-05-02,TheAmazingSpiderMan2,200000000,202853933,"Action,Adventure,Sci-Fi",Sony,506100000,101.4269665,2853933,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-06-24,Cars2,200000000,191450875,"Adventure,Animation,Comedy",BV,370700000,95.7254375,-8549125,Summer,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-12-17,TronLegacy,200000000,172062763,,BV,228000000,86.03138150000002,-27937237,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-16,FantasticBeastsTheCrimesofGrindelwald,200000000,159555901,,WB,494100000,79.7779505,-40444099,Autumn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-17,GreenLantern,200000000,116601172,"Action,Adventure,Sci-Fi",WB,103300000,58.300586,-83398828,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-05-28,PrinceofPersiaSandsofTime,200000000,90759676,,,,45.379838,-109240324,Spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-29,TransformersDarkoftheMoon,195000000,352390543,"Action,Adventure,Sci-Fi",P/DW,771400000,180.71309897435899,157390543,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-06-09,TheMummy,195000000,80101125,"Action,Adventure,Fantasy",,,41.0775,-114898875,Summer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,JacktheGiantSlayer,195000000,65187603,"Adventure,Fantasy",WB (NL),132500000,33.42954,-129812397,Spring,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-03,Furious7,190000000,353007020,"Action,Crime,Thriller",Uni.,"1,163.0",185.79316842105263,163007020,Spring,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-05-16,StarTrekIntoDarkness,190000000,228778661,"Action,Adventure,Sci-Fi",Par.,238600000,120.40982157894736,38778661,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-06-21,WorldWarZ,190000000,202359711,"Action,Adventure,Horror",Par.,337600000,106.50511105263159,12359711,Summer,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2013-05-10,TheGreatGatsby,190000000,144840419,"Drama,Romance",,,76.23179947368422,-45159581,Spring,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2013-07-12,PacificRim,190000000,101802906,"Action,Adventure,Sci-Fi",WB,309200000,53.580476842105256,-88197094,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-11-25,TheGoodDinosaur,187500000,123087120,,BV,209100000,65.64646400000001,-64412880,Autumn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-22,Brave,185000000,237282182,"Adventure,Animation,Comedy",BV,303200000,128.26063891891891,52282182,Summer,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-03-10,KongSkullIsland,185000000,168052812,"Action,Adventure,Fantasy",WB,398600000,90.83935783783785,-16947188,Spring,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-22,StarTrekBeyond,185000000,158848340,"Action,Adventure,Sci-Fi",Par.,184600000,85.86396756756756,-26151660,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
