release_date,movie,production_budget,domestic_gross,genres,studio,foreign_gross,domestic_ROI_percent,domestic_Profit
2011-05-20,PiratesoftheCaribbeanOnStrangerTides,410600000,241063875,"Action,Adventure,Fantasy",BV,804600000,58.71014978080857,-169536125
2015-05-01,AvengersAgeofUltron,330600000,459005868,"Action,Adventure,Sci-Fi",BV,946400000,138.8402504537205,128405868
2017-12-15,StarWarsTheLastJedi,317000000,620181382,"Action,Adventure,Fantasy",BV,712400000,195.64081451104101,303181382
2015-12-18,StarWarsTheForceAwakens,306000000,936662225,"Action,Adventure,Fantasy",BV,"1,131.6",306.09876633986926,630662225
2018-04-27,AvengersInfinityWar,300000000,678815482,"Action,Adventure,Sci-Fi",BV,"1,369.5",226.27182733333333,378815482
2017-11-17,JusticeLeague,300000000,229024295,"Action,Adventure,Fantasy",WB,428900000,76.34143166666667,-70975705
2015-11-06,Spectre,300000000,200074175,"Action,Adventure,Thriller",Sony,680600000,66.69139166666666,-99925825
2012-07-20,TheDarkKnightRises,275000000,448139099,"Action,Thriller",WB,636800000,162.95967236363634,173139099
2018-05-25,SoloAStarWarsStory,275000000,213767512,"Action,Adventure,Sci-Fi",BV,179200000,77.73364072727273,-61232488
2013-07-02,TheLoneRanger,275000000,89302115,"Action,Adventure,Western",BV,171200000,32.473496363636364,-185697885
2012-03-09,JohnCarter,275000000,73058679,"Action,Adventure,Sci-Fi",BV,211100000,26.566792363636367,-201941321
2010-11-24,Tangled,260000000,200821936,"Adventure,Animation,Comedy",BV,391000000,77.23920615384615,-59178064
2016-05-06,CaptainAmericaCivilWar,250000000,408084349,"Action,Adventure,Sci-Fi",BV,745200000,163.2337396,158084349
2016-03-25,BatmanvSupermanDawnofJustice,250000000,330360194,"Action,Adventure,Fantasy",WB,543300000,132.1440776,80360194
2012-12-14,TheHobbitAnUnexpectedJourney,250000000,303003568,"Adventure,Family,Fantasy",WB (NL),718100000,121.2014272,53003568
2013-12-13,TheHobbitTheDesolationofSmaug,250000000,258366855,"Adventure,Fantasy",WB (NL),700000000,103.346742,8366855
2014-12-17,TheHobbitTheBattleoftheFiveArmies,250000000,255119788,"Adventure,Fantasy",WB (NL),700900000,102.0479152,5119788
2017-04-14,TheFateoftheFurious,250000000,225764765,"Action,Crime,Thriller",Uni.,"1,010.0",90.30590600000001,-24235235
2017-05-26,PiratesoftheCaribbeanDeadMenTellNoTales,230000000,172558876,"Action,Adventure,Fantasy",BV,622300000,75.02559826086956,-57441124
2012-05-04,TheAvengers,225000000,623279547,"Action,Adventure,Sci-Fi",BV,,277.013132,398279547
2013-06-14,ManofSteel,225000000,291045518,"Action,Adventure,Sci-Fi",WB,377000000,129.35356355555555,66045518
2012-07-03,TheAmazingSpiderMan,220000000,262030663,"Action,Adventure,Sci-Fi",Sony,495900000,119.10484681818181,42030663
2012-05-18,Battleship,220000000,65233400,"Action,Adventure,Sci-Fi",Uni.,237600000,29.651545454545452,-154766600
2017-06-21,TransformersTheLastKnight,217000000,130168683,"Action,Adventure,Sci-Fi",Par.,475300000,59.98556820276497,-86831317
2015-06-12,JurassicWorld,215000000,652270625,"Action,Adventure,Sci-Fi",Uni.,"1,019.4",303.3816860465116,437270625
2012-05-25,MeninBlack3,215000000,179020854,"Action,Adventure,Comedy",Sony,,83.2655134883721,-35979146
2014-06-27,TransformersAgeofExtinction,210000000,245439076,"Action,Adventure,Sci-Fi",Par.,858600000,116.87575047619048,35439076
2010-05-14,RobinHood,210000000,105487148,"Action,Adventure,Drama",Uni.,216400000,50.23197523809524,-104512852
2018-02-16,BlackPanther,200000000,700059566,"Action,Adventure,Sci-Fi",BV,646900000,350.029783,500059566
2018-06-15,Incredibles2,200000000,608581744,,BV,634200000,304.290872,408581744
2016-12-16,RogueOneAStarWarsStory,200000000,532177324,"Action,Adventure,Sci-Fi",BV,523900000,266.088662,332177324
2016-06-17,FindingDory,200000000,486295561,"Adventure,Animation,Comedy",BV,542300000,243.1477805,286295561
2010-06-18,ToyStory3,200000000,415004880,"Adventure,Animation,Comedy",BV,652000000,207.50244000000004,215004880
2013-05-03,IronMan3,200000000,408992272,"Action,Adventure,Sci-Fi",BV,805800000,204.49613599999998,208992272
2017-05-05,GuardiansoftheGalaxyVol2,200000000,389813101,"Action,Adventure,Comedy",BV,473900000,194.9065505,189813101
2010-03-05,AliceinWonderland,200000000,334191110,"Adventure,Family,Fantasy",BV,,167.095555,134191110
2012-11-08,Skyfall,200000000,304360277,"Action,Adventure,Thriller",Sony,804200000,152.1801385,104360277
2013-06-21,MonstersUniversity,200000000,268488329,"Adventure,Animation,Comedy",BV,475700000,134.2441645,68488329
2013-03-08,OztheGreatandPowerful,200000000,234770996,"Adventure,Family,Fantasy",BV,,117.385498,34770996
2014-05-23,XMenDaysofFuturePast,200000000,233921534,"Action,Adventure,Sci-Fi",Fox,513900000,116.960767,33921534
2014-05-02,TheAmazingSpiderMan2,200000000,202853933,"Action,Adventure,Sci-Fi",Sony,506100000,101.4269665,2853933
2011-06-24,Cars2,200000000,191450875,"Adventure,Animation,Comedy",BV,370700000,95.7254375,-8549125
2010-12-17,TronLegacy,200000000,172062763,,BV,228000000,86.03138150000001,-27937237
2018-11-16,FantasticBeastsTheCrimesofGrindelwald,200000000,159555901,,WB,494100000,79.7779505,-40444099
2011-06-17,GreenLantern,200000000,116601172,"Action,Adventure,Sci-Fi",WB,103300000,58.300585999999996,-83398828
2010-05-28,PrinceofPersiaSandsofTime,200000000,90759676,,,,45.379838,-109240324
2011-06-29,TransformersDarkoftheMoon,195000000,352390543,"Action,Adventure,Sci-Fi",P/DW,771400000,180.71309897435896,157390543
2017-06-09,TheMummy,195000000,80101125,"Action,Adventure,Fantasy",,,41.0775,-114898875
2013-03-01,JacktheGiantSlayer,195000000,65187603,"Adventure,Fantasy",WB (NL),132500000,33.42954,-129812397
2015-04-03,Furious7,190000000,353007020,"Action,Crime,Thriller",Uni.,"1,163.0",185.79316842105263,163007020
2013-05-16,StarTrekIntoDarkness,190000000,228778661,"Action,Adventure,Sci-Fi",Par.,238600000,120.40982157894737,38778661
2013-06-21,WorldWarZ,190000000,202359711,"Action,Adventure,Horror",Par.,337600000,106.50511105263159,12359711
2013-05-10,TheGreatGatsby,190000000,144840419,"Drama,Romance",,,76.23179947368422,-45159581
2013-07-12,PacificRim,190000000,101802906,"Action,Adventure,Sci-Fi",WB,309200000,53.58047684210526,-88197094
2015-11-25,TheGoodDinosaur,187500000,123087120,,BV,209100000,65.64646400000001,-64412880
2012-06-22,Brave,185000000,237282182,"Adventure,Animation,Comedy",BV,303200000,128.26063891891891,52282182
2017-03-10,KongSkullIsland,185000000,168052812,"Action,Adventure,Fantasy",WB,398600000,90.83935783783784,-16947188
2016-07-22,StarTrekBeyond,185000000,158848340,"Action,Adventure,Sci-Fi",Par.,184600000,85.86396756756757,-26151660
2017-10-06,BladeRunner2049,185000000,92054159,"Drama,Mystery,Sci-Fi",WB,167200000,49.75900486486486,-92945841
2017-11-03,ThorRagnarok,180000000,315058289,"Action,Adventure,Comedy",BV,538900000,175.03238277777777,135058289
2014-05-30,Maleficent,180000000,241407328,"Action,Adventure,Family",BV,517100000,134.11518222222222,61407328
2016-11-18,FantasticBeastsandWheretoFindThem,180000000,234037575,"Adventure,Family,Fantasy",,,130.020875,54037575
2016-07-01,TheLegendofTarzan,180000000,126643061,"Action,Adventure,Drama",WB,230100000,70.35725611111111,-53356939
2011-11-23,Hugo,180000000,73864507,"Adventure,Drama,Family",Par.,111900000,41.03583722222222,-106135493
2017-07-21,ValerianandtheCityofaThousandPlanets,180000000,40479370,"Action,Adventure,Fantasy",STX,184700000,22.48853888888889,-139520630
2015-02-06,JupiterAscending,179000000,47482519,"Action,Adventure,Sci-Fi",WB,136600000,26.5265469273743,-131517481
2018-07-27,MissionImpossibleâFallout,178000000,220159104,,,,123.68488988764045,42159104
2016-05-27,XMenApocalypse,178000000,155442489,"Action,Adventure,Sci-Fi",Fox,388500000,87.32724101123596,-22557511
2018-08-10,TheMeg,178000000,145443742,,WB,384800000,81.70996741573033,-32556258
2014-06-06,EdgeofTomorrow,178000000,100206256,"Action,Sci-Fi",WB,270300000,56.29564943820225,-77793744
2016-04-15,TheJungleBook,175000000,364001123,"Adventure,Drama,Family",,,208.0006417142857,189001123
2015-06-19,InsideOut,175000000,356461711,"Adventure,Animation,Comedy",BV,501100000,203.6924062857143,181461711
2017-07-07,SpiderManHomecoming,175000000,334201140,"Action,Adventure,Sci-Fi",Sony,546000000,190.97208,159201140
2016-08-05,SuicideSquad,175000000,325100054,"Action,Adventure,Fantasy",WB,421700000,185.77145942857143,150100054
2017-11-22,Coco,175000000,209726015,"Adventure,Animation,Comedy",BV,597400000,119.84343714285714,34726015
2018-11-21,RalphBreaksTheInternet,175000000,201091711,,,,114.90954914285713,26091711
2017-06-16,Cars3,175000000,152901115,,BV,231000000,87.37206571428572,-22098885
2017-05-12,KingArthurLegendoftheSword,175000000,39175066,"Action,Adventure,Drama",WB,109500000,22.385752,-135824934
2013-12-25,47Ronin,175000000,38362475,"Action,Adventure,Drama",Uni.,113400000,21.921414285714285,-136637525
2018-06-22,JurassicWorldFallenKingdom,170000000,417719760,,Uni.,891800000,245.71750588235295,247719760
2014-08-01,GuardiansoftheGalaxy,170000000,333172112,"Action,Adventure,Comedy",BV,440200000,195.98359529411763,163172112
2010-05-07,IronMan2,170000000,312433331,"Action,Adventure,Sci-Fi",Par.,311500000,183.78431235294116,142433331
2014-04-04,CaptainAmericaTheWinterSoldier,170000000,259746958,"Action,Adventure,Sci-Fi",BV,454500000,152.79232823529412,89746958
2014-07-11,DawnofthePlanetoftheApes,170000000,208545589,"Action,Adventure,Drama",Fox,502100000,122.67387588235295,38545589
2012-06-01,SnowWhiteandtheHuntsman,170000000,155136755,"Action,Adventure,Drama",Uni.,241300000,91.25691470588235,-14863245
2015-05-22,Tomorrowland,170000000,93436322,"Action,Adventure,Family",BV,115700000,54.96254235294118,-76563678
2016-05-27,AliceThroughtheLookingGlass,170000000,77042381,,BV,222400000,45.319047647058824,-92957619
2010-05-21,ShrekForeverAfter,165000000,238736787,"Adventure,Animation,Comedy",P/DW,513900000,144.68896181818184,73736787
2016-11-04,DoctorStrange,165000000,232641920,"Action,Adventure,Fantasy",BV,445100000,140.99510303030303,67641920
2014-11-07,BigHero6,165000000,222527828,"Action,Adventure,Animation",BV,435300000,134.8653503030303,57527828
2010-03-26,HowtoTrainYourDragon,165000000,217581232,"Action,Adventure,Animation",P/DW,277300000,131.86741333333333,52581232
2012-11-02,WreckItRalph,165000000,189412677,"Adventure,Animation,Comedy",BV,281800000,114.79556181818182,24412677
2014-11-05,Interstellar,165000000,188017894,"Adventure,Drama,Sci-Fi",Par.,489400000,113.95023878787877,23017894
2016-06-24,IndependenceDayResurgence,165000000,103144286,"Action,Adventure,Sci-Fi",Fox,286500000,62.511688484848484,-61855714
2011-07-29,CowboysandAliens,163000000,100368560,,,,61.5758036809816,-62631440
2017-03-17,BeautyandtheBeast,160000000,504014165,"Family,Fantasy,Musical",,,315.00885312500003,344014165
2018-12-21,Aquaman,160000000,335061807,,WB,812700000,209.413629375,175061807
2010-07-16,Inception,160000000,292576195,"Action,Adventure,Sci-Fi",WB,535700000,182.860121875,132576195
2015-11-20,TheHungerGamesMockingjayPart2,160000000,281723902,"Action,Adventure,Sci-Fi",LGF,371700000,176.07743875,121723902
2013-05-24,FastandFurious6,160000000,238679850,,,,149.17490625,78679850
2014-05-16,Godzilla,160000000,200676069,"Action,Adventure,Sci-Fi",,,125.422543125,40676069
2011-06-03,XMenFirstClass,160000000,146408305,"Action,Adventure,Sci-Fi",Fox,207200000,91.505190625,-13591695
2010-07-14,TheSorcerersApprentice,160000000,63150991,"Action,Adventure,Family",BV,152100000,39.469369375,-96849009
2016-06-10,Warcraft,160000000,47225655,"Action,Adventure,Fantasy",Uni.,386300000,29.516034375,-112774345
2016-09-30,DeepwaterHorizon,156000000,61433527,"Action,Drama,History",LG/S,60400000,39.38046602564103,-94566473
2010-12-10,TheChroniclesofNarniaTheVoyageoftheDawnTreader,155000000,104386950,"Adventure,Family,Fantasy",Fox,311300000,67.3464193548387,-50613050
2015-07-01,TerminatorGenisys,155000000,89760956,"Action,Adventure,Sci-Fi",Par.,350800000,57.91029419354838,-65239044
2018-03-23,PacificRimUprising,155000000,59874525,,Uni.,231100000,38.62872580645161,-95125475
2017-07-14,WarforthePlanetoftheApes,152000000,146880162,"Action,Adventure,Drama",Fox,343800000,96.63168552631579,-5119838
2017-06-02,WonderWoman,150000000,412563408,"Action,Adventure,Fantasy",WB,409300000,275.042272,262563408
2013-11-22,Frozen,150000000,400738009,"Adventure,Animation,Comedy",BV,875700000,267.1586726666667,250738009
2016-03-04,Zootopia,150000000,341268248,"Adventure,Animation,Comedy",BV,682500000,227.51216533333331,191268248
2016-11-23,Moana,150000000,248757044,"Adventure,Animation,Comedy",BV,394600000,165.83802933333334,98757044
2013-11-08,ThorTheDarkWorld,150000000,206362140,"Action,Adventure,Fantasy",BV,438200000,137.57476,56362140
2015-07-31,MissionImpossibleâRogueNation,150000000,195042377,,,,130.02825133333334,45042377
2017-07-21,Dunkirk,150000000,190068280,"Action,Drama,History",WB,337200000,126.71218666666665,40068280
2011-05-06,Thor,150000000,181030624,"Action,Adventure,Fantasy",Par.,268300000,120.68708266666665,31030624
2011-05-26,KungFuPanda2,150000000,165249063,"Action,Adventure,Animation",P/DW,500400000,110.166042,15249063
2015-05-15,MadMaxFuryRoad,150000000,153636354,"Action,Adventure,Sci-Fi",WB,224800000,102.424236,3636354
2018-03-29,ReadyPlayerOne,150000000,137690172,,WB,445200000,91.793448,-12309828
2010-07-01,TheLastAirbender,150000000,131772187,"Action,Adventure,Family",Par.,187900000,87.84812466666668,-18227813
2012-03-30,WrathoftheTitans,150000000,83670083,"Action,Adventure,Fantasy",WB,221600000,55.78005533333334,-66329917
2012-05-11,DarkShadows,150000000,79727149,"Comedy,Fantasy,Horror",WB,165800000,53.151432666666665,-70272851
2013-06-28,WhiteHouseDown,150000000,73103784,"Action,Drama,Thriller",Sony,132300000,48.735856,-76896216
2010-02-12,TheWolfman,150000000,62189884,,Uni.,77800000,41.459922666666664,-87810116
